SR NO. 	COMPANY NAME 	STOCK SYMBOL 	SECTOR 	WEIGHTAGE 
1 	RELIANCE INDUSTRIES LTD 	RELIANCE 	PETROLEUM PRODUCTS 	11.70 
2 	HDFC BANK LTD 	HDFCBANK 	BANKS 	8.61 
3 	INFOSYS LTD 	INFY 	SOFTWARE 	6.90 
4 	HOUSING DVELOPMENT FIN. CORP. LTD 	HDFC 	FINIANCE 	5.81 
5 	ICICI BANK LTD. 	ICICIBANK 	BANKS 	7.93 
6 	TATA CONSULTANCY SERVICES LTD 	TCS 	SOFTWARE 	4.24 
7 	KOTAK MAHINDRA BANK LTD 	KOTAKBANK  	BANKS 	3.55 
8 	HINDUSTAN UNILEVER LTD  	HINDUNILVR 	CONSUMER NON-DURABLES 	3.03 
9 	AXIS BANK LTD 	AXISBANK 	BANKS 	2.89 
10 	LARSEN TOURBO LTD 	LT 	CONSTRUCTION PROJECTS 	3.08  
11 	ITC LIMITED  	ITC 	CONSUMER NON-DURABLES 	3.64 
12 	STATE BANK OF INDIA 	SBIN 	BANKS 	2.66 
13 	BAJAJ FIANANCE LTD 	BAJFINANCE 	FINANCE 	2.30 
14 	ASIAN PAINTS LIMITED 	ASIANPAINT 	CONSUMER NON-DURABLES 	1.82 
15 	BHARTI AIRTEL LTD 	BHARTIARTL 	TELECOM- SERVICES 	2.27 
16 	HCL TECHNOLOGIES LTD 	HCLTECH 	SOFTWARE 	1.30 
17 	MARUTI SUZUKI INDIA LTD 	MARUTI 	AUTO 	1.54 
18 	TATA STEEL LTD  	TATASTEEL 	FERROUS METALS 	1.13 
19 	WIPRO LTD 	WIPRO 	SOFTWARE 	0.79 
20 	ULTRA TECH CEMENT LIMITED 	ULTRACEMCO 	CEMENT AND CEMENT PRODUCTS 	1.02 
21 	MAHINDR & MAHINDRA LTD 	M&M 	AUTO 	1.53 
22 	BAJAJ FINSERV LTD 	BAJAJFINSV 	INSURANCE 	1.20 
23 	SUN PHARMACEUTICAL INDUSTRIES LTD 	SUNPHARMA 	PHARMACEUTICALS 	1.26 
24 	TITAN COMPANY LTD 	TITAN 	CONSUMER DURABLES 	1.30 
25 	TECH MAHINDRA LTD 	TECHM 	SOFTWARE 	0.87 
26 	DR. REDDYS LABORATORIES LTD 	DRREDDY 	PHARMACEUTICALS 	0.67 
27 	JSW STEEL LTD 	JSWSTEEL 	FERROUS METALS 	0.75 
28 	NESTLE INDIA LTD 	NESTLEIND 	CONSUMER NON-DURABLES 	0.91 
29 	INDUSIND BANK LTD 	INDUSINDBK 	BANKS 	0.80 
30 	TATA MOTORS LTD 	TATAMOTORS 	AUTO 	1.03 
31 	POWER GRID CORPORATION OF INDIA LTD 	POWERGRID 	POWER 	1.01 
32 	GRASIM INDUSTRIES LTD 	GRASIM 	CEMENT AND CEMENT PRODUCTS 	0.78 
33 	HDFC LIFE INSURANCE COMPANY LTD 	HDFCLIFE  	INSURANCE 	0.78 
34 	DIVIS LABORATRIES LTD 	DIVISLAB 	PHARMACEUTICALS 	0.60 
35 	NTPC LTD 	NTPC 	POWER 	1.05 
36 	HINDALCO INDUSTRIES LTD 	HINDALCO 	NON-FERROUS METALS 	0.77 
37 	BAJAJ AUTO LIMITED 	BAJAJ-AUTO                     	AUTO 	0.61 
38 	ADANI PORTS & SPECIAL ECONOMIC ZONE 	ADANIPORTS 	TRANSPORTATION 	0.90 
39 	CIPLA LTD 	CIPLA 	PHARMACEUTICALS 	0.73 
40 	TATA CONSUMER PRODUCTS LIMITED 	TATACONSUM 	CONSUMER NON-DURABLES 	0.66 
41 	SBI LIFE INSURANCE COMPANY LTD 	SBILIFE 	INSURANCE 	0.76 
42 	BHARAT PETROLEUM CORPORATION LTD 	BPCL 	PETROLEUM PRODUCTS 	0.43 
43 	UPL LTD 	UPL  	PESTICIDES 	0.52 
44 	BRITANNIA INDUSTRIES LTD 	BRITANNIA 	CONSUMER NON-DURABLES 	0.58 
45 	OIL & NATURAL GAS LIMITED 	ONGC 	OIL 	0.66 
46 	EICHER MOTORS LTD 	EICHERMOT 	AUTO 	0.58 
47 	HERO MOTOCORP LTD 	HEROMOTOCO 	AUTO 	0.48 
48 	SHREE CEMENT LTD 	SHREECEM 	CEMENT&CEMENT PRODUCTS 	0.30 
49 	COAL INDIA LTD 	COALINDIA 	MINERALS\MINNING 	0.66 
50 	APPOLO HOSPITALS ENTERPRISES LTD 	APOLLOHOSP 	PHARMACEUTICALS 	0.90 
